"amount_lamport","amount_usd","is_sell","user","timestamp_unix","tx_hash","log_index","pool","fees","fees_usd","quote_mint","base_mint","quote_amount","base_amount"
1172206844,176.66,0,"ERqgj7gqUzsFb5rjuVaWwaZX49M3dwR3AHPrL5auLBcv",1749320461,"3B2CVB5ByoPQVyByW9dhSeWoDF5JpBTszqahZhXso3MYrFvouW8eD7mzLenZnrrgLT6JqHKyPoiPssXt3E4baGxC",35,"AChj2YJDJ7m52yJzqeR4bYgvTNRgh7eZ4Gj3gPiwyNyJ",941366020,141.87,"EFssKRuh5oaYg2HH6hsDFsrKbGy4XhQca6R5jiEsvz7m","So11111111111111111111111111111111111111112",376546407910,1172206844
3551813515,535.29,0,"FAU2zuNw9xUg7dCXR6mrn9xPRMWwfxYQ67Sh2rFv2gfC",1749320463,"3BLDBCXY8oE7QWwCQ4Zx8UohviRHGsPnKkt6cCaJBo3QQnvgdxQBFLiT9HMrdhAXFwVXD1GjHsGnAvqF6ZZe4mjA",35,"A6iCpjATRCvYshjAdAg8dnsDHopudfMmGXT9gUYpnuyU",4560063762,687.25,"2ghRoZDfTzh5LhpVSDLfbb7q5v9M7P73QGKAtg1TEeQb","So11111111111111111111111111111111111111112",1824025504451,3551813515
7555949020,1138.76,1,"DwA6Asr7gpZgXp7xfhEZVdCW6KHeQqvScemwRsf53rTB",1749320461,"3BqMZLNBWpqZwHF3rtMVQoa6acba2H8NYGrwcy7ryZSsMupAkdwffMQyRTupw5eNunwc8K9njiojMep4mBiDK2dF",45,"6XwHQJxbSncMBzruMqkyWYxPXn8GHLDDJViYhj4ZkEcz",50482033505,7608.15,"A2cYt48GrrsdeHwEi9BSrPvXaUKe4wNAgSZT8SPiEamJ","So11111111111111111111111111111111111111112",20192813401944,7555949020
9696991810,1461.43,0,"5UeFo79nZEHL5S8DXcqqmdww96MEkNxrxfpT3JRFHZv2",1749320461,"3BqMZLNBWpqZwHF3rtMVQoa6acba2H8NYGrwcy7ryZSsMupAkdwffMQyRTupw5eNunwc8K9njiojMep4mBiDK2dF",90,"6XwHQJxbSncMBzruMqkyWYxPXn8GHLDDJViYhj4ZkEcz",65367296853,9851.51,"A2cYt48GrrsdeHwEi9BSrPvXaUKe4wNAgSZT8SPiEamJ","So11111111111111111111111111111111111111112",26146918740513,9696991810
1426053523,214.92,1,"97GLbxDCW2BzeWAtvZvYybeobxrXWiHWxxra5kxhSJGc",1749320461,"3BtGJ6fUVLUf5jNXAgJN3YGJUb1GpwZVVRw7rkMjfv67eKnfifJ4Ks5TdhbJfmH84ENqdCveYrVNvsP4Pn7eGFno",38,"FxqVGF3cQHis1UQNdG1yZkHNrxjFteQzjSDsuvjBudpM",4278162,0.64,"So11111111111111111111111111111111111111112","HJWqiwrc74THZSfv85Bstxk5sB4dPK1R3G8go8K4pump",1426053523,463434033384
39271531,5.92,0,"6LXutJvKUw8Q5ue2gCgKHQdAN4suWW8awzFVC6XCguFx",1749320461,"3CSwnPGv8E8Ei26ZWzhuBGkNLbntykHc9mZ1bGioYEGBxcBcNgkeMrXEDHRdbRSYYSd9rZMXDHPEpjcUa4YZMWmv",51,"7YpFCrTdR5TfDWckfWNDfQGjKrYob18PX1v6HfqKy4yv",117816,0.02,"So11111111111111111111111111111111111111112","8iK4qEEb41gkogyEUn4qjrnuj3vgvQEf1RcxXauWpump",39271531,120943075232
1015477,0.15,1,"3koANKyWh9q4jCXJbAxZ7vEdVXMT5yo8NgGLWVz4FSiG",1749320463,"3CWv2uTMWENTKUWCcowyBzYXgd7kGKC5y1Wie8wF17WjSC8gLBC9fmXWCJwyJDSTcD3Q6Q7Nohz4WyEdhSRJp4un",43,"9HwtBjZdigXhWsho5r6NwjbwzLxRk2vAeLzEhWqVa5Nc",3047,0,"So11111111111111111111111111111111111111112","BkXH1FgvFozbfaEum7YYfdz2dzQ8aw14JidUibnjpump",1015477,18069779617
274345146,41.35,1,"H37v6ZCzyh9Hbvz6J6PwJZ3fHPAgo1uFMUbhonsm6due",1749320461,"3DBAEcwFyXHsdVfBjENcKzsmerTVBqU8ohqu7gB7KiV7AWiuoXtGnBJxRyUt7y4eRzZSsrQUKbJCxWSJhpWZmpCs",43,"DetBzNeyFiXcmi2B5WhiQfZT6mZwnJW7QA1ExuB4jBed",5373843830,809.89,"5oLaJW8ZSzRwGVWQf94oeCrRLdBMUkRvikeK5Syadz9Z","So11111111111111111111111111111111111111112",2149537531656,274345146
7646566804,1152.41,1,"98aafAgHpih3CSMvRePZcb2RKLjQ4s29zSAqRDhKv4QG",1749320463,"3DPvJLRVrSnBgTs6n7caKZVv77bacA3ZdKd4JiUqRR7joLi9pYdVjbpN6hmSZ2rfZzs922tmBvcgNP1SQm6Mqtiu",41,"A6iCpjATRCvYshjAdAg8dnsDHopudfMmGXT9gUYpnuyU",10684011623,1610.19,"2ghRoZDfTzh5LhpVSDLfbb7q5v9M7P73QGKAtg1TEeQb","So11111111111111111111111111111111111111112",4273604648817,7646566804
289767291,43.67,1,"AMXBXpxsM78epSvXjdFaHDYSCGF4qorzFibe9jcaKWtc",1749320461,"3DaWWFNTNUsMkTTL95z5NbRjWmGL21oidYsTFDkZwMQyYpz2gdgwGrLGEVF8db5Mpb7GCiv6AgDVMtNTiCufdGrC",41,"6Z5htyNPBWggGNCK8p6dg6CsXWWxjUSz6XdXZ17wKod5",245948817,37.07,"E4ietnQURbew1577SHehu99y5xKozzw2Mz5mZc6VyAAX","So11111111111111111111111111111111111111112",98379526199,289767291
